CohortMonth,MonthIndex,Retention,RetentionPct
2011-07,4,0.3431372549019608,34.31
2011-08,4,0.16981132075471697,16.98
2011-09,4,,
2011-10,4,,
2011-11,4,,
2011-12,4,,
2009-12,5,0.35916230366492147,35.92
2010-01,5,0.3002610966057441,30.03
2010-02,5,0.20053475935828877,20.05
2010-03,5,0.20316027088036118,20.32
2010-04,5,0.22448979591836735,22.45
2010-05,5,0.2559055118110236,25.59
2010-06,5,0.2851851851851852,28.52
2010-07,5,0.13978494623655913,13.98
2010-08,5,0.11728395061728394,11.73
2010-09,5,0.102880658436214,10.29
2010-10,5,0.08222811671087533,8.22
2010-11,5,0.08615384615384615,8.62
2010-12,5,0.06578947368421052,6.58
2011-01,5,0.15492957746478872,15.49
2011-02,5,0.1532258064516129,15.32
2011-03,5,0.15083798882681565,15.08
2011-04,5,0.2358490566037736,23.58
2011-05,5,0.2072072072072072,20.72
2011-06,5,0.28703703703703703,28.7
2011-07,5,0.1568627450980392,15.69
2011-08,5,,
2011-09,5,,
2011-10,5,,
2011-11,5,,
2011-12,5,,
2009-12,6,0.3769633507853403,37.7
2010-01,6,0.2584856396866841,25.85
2010-02,6,0.1925133689839572,19.25
2010-03,6,0.24604966139954854,24.6
2010-04,6,0.2755102040816326,27.55
2010-05,6,0.2125984251968504,21.26
2010-06,6,0.1259259259259259,12.59
2010-07,6,0.11290322580645161,11.29
2010-08,6,0.09876543209876543,9.88
2010-09,6,0.13580246913580246,13.58
2010-10,6,0.129973474801061,13.0
2010-11,6,0.12923076923076923,12.92
2010-12,6,0.05263157894736842,5.26
2011-01,6,0.15492957746478872,15.49
2011-02,6,0.1532258064516129,15.32
2011-03,6,0.20670391061452514,20.67
2011-04,6,0.1792452830188679,17.92
2011-05,6,0.26126126126126126,26.13
2011-06,6,0.08333333333333333,8.33
2011-07,6,,
2011-08,6,,
2011-09,6,,
2011-10,6,,
2011-11,6,,
2011-12,6,,
2009-12,7,0.3424083769633508,34.24
2010-01,7,0.2297650130548303,22.98
2010-02,7,0.28609625668449196,28.61
2010-03,7,0.30248306997742663,30.25
2010-04,7,0.2619047619047619,26.19
2010-05,7,0.12598425196850394,12.6
2010-06,7,0.08888888888888889,8.89
2010-07,7,0.14516129032258066,14.52
2010-08,7,0.12345679012345678,12.35
2010-09,7,0.09876543209876543,9.88
2010-10,7,0.13793103448275862,13.79
2010-11,7,0.09846153846153846,9.85
2010-12,7,0.09210526315789473,9.21
2011-01,7,0.1267605633802817,12.68
2011-02,7,0.14516129032258066,14.52
2011-03,7,0.2011173184357542,20.11
2011-04,7,0.25471698113207547,25.47
2011-05,7,0.11711711711711711,11.71
2011-06,7,,
2011-07,7,,
2011-08,7,,
2011-09,7,,
2011-10,7,,
2011-11,7,,
2011-12,7,,
2009-12,8,0.33612565445026177,33.61
2010-01,8,0.2793733681462141,27.94
2010-02,8,0.2540106951871658,25.4
2010-03,8,0.27539503386004516,27.54
2010-04,8,0.1054421768707483,10.54
2010-05,8,0.05905511811023622,5.91
2010-06,8,0.08148148148148149,8.15
2010-07,8,0.14516129032258066,14.52
2010-08,8,0.13580246913580246,13.58
2010-09,8,0.12757201646090535,12.76
2010-10,8,0.10610079575596817,10.61
2010-11,8,0.08615384615384615,8.62
2010-12,8,0.05263157894736842,5.26
2011-01,8,0.11267605633802817,11.27
2011-02,8,0.14516129032258066,14.52
2011-03,8,0.24022346368715083,24.02
2011-04,8,0.11320754716981132,11.32
2011-05,8,,
2011-06,8,,
2011-07,8,,
2011-08,8,,
2011-09,8,,
2011-10,8,,
2011-11,8,,
2011-12,8,,
2009-12,9,0.362303664921466,36.23
2010-01,9,0.3185378590078329,31.85
2010-02,9,0.27540106951871657,27.54
2010-03,9,0.10835214446952596,10.84
2010-04,9,0.10884353741496598,10.88
2010-05,9,0.08267716535433071,8.27
2010-06,9,0.11851851851851852,11.85
2010-07,9,0.11290322580645161,11.29
2010-08,9,0.12962962962962962,12.96
2010-09,9,0.13168724279835392,13.17
2010-10,9,0.09283819628647215,9.28
2010-11,9,0.08923076923076922,8.92
2010-12,9,0.02631578947368421,2.63
2011-01,9,0.2112676056338028,21.13
2011-02,9,0.1774193548387097,17.74
2011-03,9,0.09497206703910614,9.5
2011-04,9,,
2011-05,9,,
2011-06,9,,
2011-07,9,,
2011-08,9,,
2011-09,9,,
2011-10,9,,
2011-11,9,,
2011-12,9,,
2009-12,10,0.42198952879581153,42.2
2010-01,10,0.3028720626631854,30.29
2010-02,10,0.11497326203208556,11.5
2010-03,10,0.11512415349887133,11.51
2010-04,10,0.07482993197278912,7.48
2010-05,10,0.1141732283464567,11.42
2010-06,10,0.10740740740740741,10.74
2010-07,10,0.13440860215053763,13.44
2010-08,10,0.12962962962962962,12.96
2010-09,10,0.11522633744855967,11.52
2010-10,10,0.10610079575596817,10.61
2010-11,10,0.11076923076923077,11.08
2010-12,10,0.09210526315789473,9.21
2011-01,10,0.2535211267605634,25.35
2011-02,10,0.056451612903225805,5.65
2011-03,10,,
2011-04,10,,
2011-05,10,,
2011-06,10,,
2011-07,10,,
2011-08,10,,
2011-09,10,,
2011-10,10,,
2011-11,10,,
2011-12,10,,
2009-12,11,0.4952879581151832,49.53
2010-01,11,0.17232375979112272,17.23
2010-02,11,0.12566844919786097,12.57
2010-03,11,0.14221218961625282,14.22
2010-04,11,0.13945578231292516,13.95
2010-05,11,0.13385826771653545,13.39
2010-06,11,0.13703703703703704,13.7
2010-07,11,0.14516129032258066,14.52
2010-08,11,0.12345679012345678,12.35
2010-09,11,0.09876543209876543,9.88
2010-10,11,0.129973474801061,13.0
2010-11,11,0.14461538461538462,14.46
2010-12,11,0.19736842105263158,19.74
2011-01,11,0.11267605633802817,11.27
2011-02,11,,
2011-03,11,,
2011-04,11,,
2011-05,11,,
2011-06,11,,
2011-07,11,,
2011-08,11,,
2011-09,11,,
2011-10,11,,
2011-11,11,,
2011-12,11,,
